time,cpu,memory,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv
0.0,4.5,28.7,1472512,637440,333,155
1.0099616050720215,5.2,28.9,27119616,3021824,1055,1134
2.02002215385437,4.5,28.8,38346240,4887552,1140,1188
3.0334603786468506,4.0,28.8,44107264,8636416,1140,1188
4.0434346199035645,3.7,28.8,51769344,13041152,1307,1350
5.057363271713257,3.9,28.8,57037312,16381440,3516,10320
6.0693724155426025,3.7,28.8,63650304,17786368,13791,29458
7.078855037689209,4.0,28.8,75058688,20670976,34456,401741
8.088615417480469,4.2,28.8,97462272,25070592,34456,401795
9.142284393310547,3.1,28.8,115902464,29357056,36774,407326
10.154369592666626,4.4,28.8,123151872,32399360,39611,509478
11.164435863494873,3.8,28.8,135368704,34753536,49974,516133
12.174333333969116,3.1,28.7,137773568,37046784,49974,516133
13.18460202217102,3.2,28.7,138561024,39545344,50063,516286
14.193578004837036,2.8,28.7,138594304,40287232,50063,516286
15.204558372497559,2.6,28.7,138594304,42384384,50268,516464
16.21403741836548,3.2,28.7,139038720,44098560,50323,516596
17.22336769104004,2.8,28.7,139038720,44319744,53868,521851
18.23468828201294,2.7,28.7,139039232,44692992,53976,522385
19.24399495124817,3.2,28.7,139039232,44844544,53976,522385
20.25351881980896,2.3,28.7,139039232,44885504,54061,522439
21.26276707649231,3.3,28.7,139040768,45515264,54170,522663
22.274006605148315,2.4,28.7,139114496,45688832,54278,522825
23.28403663635254,1.8,28.7,139115008,45894144,54332,522983
24.29348850250244,3.0,28.8,139133440,46346752,54332,522983
25.30476427078247,3.5,28.7,139133952,46400512,54332,522983
26.31423854827881,3.8,28.7,139219456,46629888,54387,523049
27.323901414871216,3.8,28.7,139219968,46757376,55490,523895
28.33749556541443,2.8,28.7,139220480,46872576,58170,529383
29.34797978401184,2.6,28.7,139286016,46876672,58170,529383
30.36188578605652,5.3,28.8,139286016,46876672,58278,529569
31.371696710586548,5.4,28.7,142636032,46995456,58332,529836
32.382304430007935,4.9,28.8,142774784,49837056,58417,529890
33.39180088043213,4.6,28.8,145822720,53684736,58417,529890
34.40401005744934,3.6,28.8,145839104,53684736,58581,529998
35.41549825668335,3.0,28.8,147963392,57615360,59368,530257
36.425795555114746,2.3,28.8,148627456,59815424,59724,531179
37.4354932308197,3.7,28.8,154289152,60656128,59832,531341
38.44592070579529,3.7,28.8,157533696,62976512,62938,534449
39.45611071586609,2.0,28.8,157541888,65073664,62992,534992
40.46627926826477,2.6,28.8,157613056,68080640,62992,534992
41.47613072395325,3.4,28.8,161274880,68080640,62992,534992
42.485838890075684,4.1,28.7,179671040,72020992,62992,534992
43.511610984802246,4.2,28.8,201253376,74504192,63101,534992
44.52142953872681,4.0,28.8,201253376,76601344,63155,535112
45.53148436546326,5.1,28.7,201270272,78105600,63210,535112
46.54061722755432,5.3,28.7,201274368,80157696,63210,535178
47.55085515975952,5.1,28.7,201274880,80303616,63210,535178
48.561774253845215,2.9,28.7,201279488,80754688,63349,535323
49.57238483428955,3.7,28.7,201295360,81835520,67196,543571
50.58198666572571,3.8,28.7,201297408,82804736,71626,544338
51.59148955345154,2.2,28.7,201301504,84079104,75852,544899
52.60213875770569,2.8,28.7,201302528,84248064,79136,545911
53.61614179611206,2.8,28.7,201451008,84551680,79190,546069
54.625438928604126,2.7,28.7,201524224,84748800,79190,546069
55.63540720939636,2.3,28.7,201526272,85049856,79245,546069
56.64596509933472,4.7,28.7,201649152,85189120,79299,546271
57.65569567680359,3.3,28.7,201649664,85443584,79299,546271
58.665114402770996,3.9,28.8,201652736,86820352,79299,546271
59.676470041275024,4.2,28.7,201686016,86996992,80079,546325
60.68619680404663,4.4,28.7,201718784,87005184,82462,549830
61.695703744888306,5.6,28.8,203767296,87005184,85135,555292
62.70510816574097,5.6,28.7,203767296,87013376,85136,555292
63.71548008918762,6.2,28.8,204350976,87552000,85136,555292
64.72493648529053,5.0,28.8,209708032,87973376,87414,557057
65.73424005508423,4.0,28.8,210127360,91441152,87674,557381
66.74421977996826,3.6,28.8,210184704,94586880,87728,557605
67.75340867042542,4.1,28.8,210185728,96934912,87728,557605
68.76342463493347,3.5,28.8,210235392,97673728,87977,557979
69.77328634262085,4.4,28.8,210235392,99963392,87978,557979
70.78340601921082,4.3,28.8,210236416,102255104,90869,565960
