time,cpu,memory,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv
93.0890040397644,10.8,38.7,404806656,147413504,179644,885733
94.10303449630737,3.1,38.7,408758272,147511808,179876,886129
95.11476492881775,1.7,38.7,411672064,149203456,183058,886671
96.1268572807312,1.7,38.7,414461440,149268992,186848,895729
97.13822364807129,2.3,38.7,417600000,149680128,186848,895729
98.1501476764679,2.3,38.7,420389376,149704704,186848,895729
99.16504454612732,2.3,38.7,423062528,149819392,186956,895891
100.17615556716919,2.0,38.7,426111488,149868544,187011,898734
101.18761539459229,2.2,38.7,428784640,150233088,187011,898734
102.19939112663269,1.8,38.7,431458304,150532608,187012,898734
103.21081805229187,2.0,38.7,434164224,150622720,187013,898734
104.22242617607117,2.3,38.7,436837376,150635008,187014,898734
105.23453211784363,1.7,38.7,439161856,150675968,187015,898734
106.24565005302429,2.1,38.8,441486336,150688256,201343,905401
107.26218342781067,3.6,38.9,444625408,151016960,282897,949265
108.27344870567322,2.0,38.9,447182336,151209472,283036,950243
109.2849805355072,2.1,38.9,449855488,151307776,283233,950585
110.2964084148407,2.1,38.9,452528640,151533056,283342,950705
111.30839395523071,9.7,38.9,455595008,151635456,283397,950863
112.3188054561615,10.8,38.9,459082752,151759360,292675,957271
113.33131766319275,3.6,39.0,462685696,152238592,292676,957271
114.34899306297302,11.6,38.9,465358848,152349184,292785,957433
115.36074447631836,3.2,38.6,468613120,152459776,292786,957433
116.37209987640381,1.7,38.6,471053824,152795648,309997,958652
117.38463044166565,2.5,38.6,473726976,152807936,314181,964974
118.39619469642639,3.1,38.6,476749312,158543872,317246,969709
119.40766310691833,2.4,38.6,479538688,158765056,317246,969709
120.4200050830841,2.2,38.6,482328064,158826496,317302,969775
121.4304838180542,2.1,38.6,485001216,158855168,322142,971255
122.4430091381073,2.7,38.6,487731712,159309824,325913,978658
123.45491600036621,3.0,38.6,492555776,160632832,326625,1002587
124.46678900718689,2.7,38.6,495826944,161138688,327513,1005572
125.48197531700134,2.9,38.6,500127232,161368064,328270,1006173
126.49625754356384,2.2,38.6,502568448,165706240,328324,1006331
127.50825572013855,1.8,38.6,505379328,165826048,329103,1006331
128.52021169662476,2.9,38.6,508052480,165903872,340988,1020818
129.53351426124573,4.4,38.6,510613504,167169536,346202,1037975
130.5468292236328,2.8,38.6,513635328,167169536,346311,1038095
131.55891299247742,10.7,38.6,516192256,167448064,348852,1159307
132.57103943824768,5.3,38.6,521028608,168074752,348949,1159404
133.58371806144714,2.8,38.6,523828736,168418816,349231,1159686
134.5952606201172,1.8,38.6,526269440,168467968,349273,1159728
135.6069140434265,1.9,38.6,528710144,168476160,349273,1159728
136.61968970298767,2.1,38.5,532080640,168685056,350777,1160503
137.63315773010254,4.2,38.5,534638080,168838656,355902,1165496
138.64544653892517,5.4,38.5,538124800,168941056,358783,1168888
139.6574432849884,3.0,38.5,541262848,169268736,366210,1270154
140.67003560066223,9.3,38.5,543471104,169379328,366940,1296239
141.68118500709534,2.1,38.5,546144256,169440768,366994,1296397
142.69377779960632,2.2,38.5,549166080,169461248,366994,1296397
143.7048225402832,2.3,38.5,551606784,169526784,366994,1296397
144.7163372039795,2.3,38.5,554422784,169649664,366994,1296397
145.72740864753723,1.6,38.5,556863488,169731584,367102,1296559
146.73904490470886,1.9,38.5,559420416,169797120,367102,1296559
147.75149822235107,2.3,38.5,561861120,170038784,367102,1296559
148.7650077342987,2.5,38.5,564781056,170128896,367102,1296559
149.77766370773315,2.4,38.5,567337984,170296832,369505,1297047
150.7901210784912,2.2,38.5,569894912,170464768,373720,1305003
151.80197834968567,2.0,38.5,572335616,170489344,373883,1305911
152.8136751651764,1.7,38.5,575008768,170501632,373883,1305911
153.828515291214,2.3,38.5,578187264,170554880,379145,1311488
154.84011149406433,1.9,38.5,580873216,171587072,385817,1327728
155.86027550697327,3.2,38.5,584012800,172815872,387197,1331152
156.8744125366211,9.3,38.5,586685952,172914176,387197,1331152
157.88655161857605,10.5,38.5,589707776,172938752,387197,1331152
158.89789819717407,4.3,38.5,592962048,173135360,390792,1334628
159.91007089614868,4.4,38.5,596348416,173352448,396180,1339616
160.9254789352417,3.6,38.5,598905344,173442560,397122,1340381
161.93984246253967,9.2,38.5,601810944,173483520,404340,1466679
162.9513487815857,3.0,38.5,604948992,173733376,410706,1474434
163.96259212493896,2.5,38.5,608203264,173925888,410706,1474434
164.9751193523407,3.3,38.5,610643968,174233088,410706,1474434
165.98614263534546,1.9,38.5,613388800,174282240,410706,1474434
166.99968099594116,2.1,38.5,615786496,174487040,411032,1474620
168.01195311546326,2.4,38.5,618227200,174675456,411032,1474674
169.02219343185425,2.2,38.5,620784128,174839296,411140,1475000
170.03506517410278,1.7,38.5,623108608,174867968,411140,1475000
171.04634952545166,2.0,38.5,625781760,174917120,411249,1475224
172.05833554267883,2.1,38.5,628222464,175064576,413652,1475820
173.06984066963196,2.2,38.5,630779392,175207936,416758,1480466
174.08851861953735,2.9,38.6,633816576,178482176,418691,1486164
175.10458827018738,2.0,38.6,636385792,179854336,458890,1526777
176.11688041687012,2.7,38.6,638882304,180071424,472138,1540187
177.1305148601532,2.3,38.6,641285120,180423680,494496,1562568
178.14699172973633,1.7,38.6,644204544,181160960,495626,1563957
179.1606523990631,1.8,38.6,646645248,181300224,496590,1571114
180.17295241355896,10.9,38.6,650829312,181500928,497766,1571727
181.1850504875183,9.6,38.5,658500096,181660672,497875,1571969
182.19646310806274,5.1,38.5,663149056,181697536,497875,1571969
183.2134826183319,8.3,38.5,672651264,181726208,497875,1571969
184.22555947303772,2.5,38.5,677547520,181980160,501485,1577711
185.23728823661804,2.3,38.6,679872000,182111744,504591,1581204
186.249196767807,2.5,38.6,682143232,182325760,504800,1581595
187.26070737838745,2.0,38.5,685089792,182432256,505440,1586112
188.2752184867859,2.3,38.5,687415296,183193600,511340,1586882
189.28673315048218,2.2,38.5,689927680,183377920,511394,1586936
190.29797053337097,3.2,38.6,693252096,183566336,511479,1586990
191.31521558761597,2.5,38.6,696366592,198520832,511743,1587281
192.3269600868225,2.1,38.5,698972160,200454144,511828,1587335
193.33858346939087,2.0,38.5,701317120,200454144,511936,1587497
194.35045862197876,2.1,38.5,703533568,205475840,512715,1587497
195.3625133037567,2.0,38.5,705974272,205574144,517445,1592631
196.37349605560303,2.0,38.5,708414976,205594624,518214,1596769
197.38457870483398,2.5,38.5,710855680,205705216,518433,1596943
198.3963360786438,2.0,38.5,713180672,205824512,518487,1597083
199.4076201915741,3.0,38.6,716159488,206205440,518596,1597307
200.41863131523132,2.2,38.5,718526976,206279168,518596,1597307
201.43056082725525,1.7,38.5,720852480,206431744,518705,1597531
202.44236254692078,2.2,38.5,723293184,206448128,518705,1597531
203.45473718643188,2.0,38.5,725618176,206602752,518705,1597531
204.4663212299347,1.7,38.5,727942656,206766592,518705,1597531
205.47818040847778,0.8,38.5,730383360,206766592,518705,1597531
206.48989701271057,0.7,38.5,732707840,206782976,524542,1602881
207.5007448196411,0.6,38.5,735264768,206852608,525761,1607093
208.5169162750244,0.8,38.5,737705472,206942720,525846,1607147
209.52896189689636,0.7,38.5,740262400,206983680,525954,1607309
210.5451853275299,1.3,38.6,742707200,207356416,525954,1607309
211.55521702766418,0.8,38.6,745175552,207544832,526063,1607471
212.56666254997253,0.9,38.6,747732480,207565312,526063,1607471
213.57845950126648,0.6,38.6,750056960,207704576,526063,1607471
214.59019780158997,1.0,38.6,752381440,207749632,526117,1607629
215.6013822555542,1.2,38.6,754938368,207761920,526117,1607629
216.61308217048645,1.5,38.6,757262848,207974912,526950,1607787
217.62491416931152,0.8,38.5,759703552,208122368,532736,1617975
218.639221906662,0.9,38.5,762260480,208187904,540410,1623755
219.6509988307953,1.0,38.5,764701184,208552448,546387,1629123
220.66226387023926,1.5,38.5,767141888,208552448,546387,1630461
221.67351150512695,1.1,38.5,769538560,208581120,546581,1632307
222.68524026870728,1.0,38.5,772282368,208679424,549385,1632404
223.69692087173462,1.1,38.5,774606848,208749056,550020,1636963
224.70824670791626,1.1,38.6,777047552,208962048,550279,1637407
225.71932911872864,11.0,38.6,780534784,209085440,552554,1639645
226.73032760620117,9.8,38.5,784021504,209204224,552636,1639645
227.7461724281311,3.4,38.5,786694656,209265664,555295,1640445
228.75803542137146,8.2,38.5,789600256,209388544,557359,1646257
229.77366995811462,1.4,38.5,792527360,209728512,560093,1650261
230.78558325767517,1.2,38.5,794851840,209818624,560094,1650261
231.7979850769043,1.3,38.5,797292544,209896448,560204,1650485
232.808664560318,1.5,38.5,799690752,209998848,562802,1659111
233.82076287269592,1.5,38.5,802015232,210064384,562857,1659111
234.83211016654968,1.1,38.5,804585472,210125824,562912,1659111
235.8436131477356,2.0,38.5,807142400,210293760,562913,1659111
236.8547239303589,1.1,38.5,809583104,210293760,562913,1659111
237.86579751968384,1.8,38.5,812213760,210777088,563414,1659743
238.87862038612366,1.2,38.5,814654464,210912256,566939,1665827
239.8896336555481,1.1,38.5,817095168,211129344,569451,1667265
240.90152740478516,1.2,38.5,819535872,211203072,570317,1671590
241.9141047000885,2.1,38.6,821744128,211485696,570536,1672211
242.93558979034424,1.8,38.5,824242176,211612672,570537,1672211
243.94697427749634,1.1,38.5,826733056,214217728,571022,1672799
244.95876955986023,1.7,38.5,830116352,214545408,575760,1674729
245.97170567512512,3.2,38.5,1098287616,214860800,575814,1674887
246.9829261302948,2.3,38.5,1117089280,243401728,635177,1737616
247.99627304077148,1.8,38.5,1122433024,290507776,900406,2005323
249.00739192962646,1.2,38.5,1128767488,297270272,903633,2007770
250.01880407333374,0.5,38.5,1131145728,328519168,906356,2013354
251.03009295463562,2.1,38.7,1134127616,340827648,932831,2040355
252.04327130317688,2.9,38.6,1134296576,358814208,1071553,2183372
253.0548882484436,3.2,38.6,1134333440,359121408,1083667,2197108
254.0664141178131,3.1,38.6,1134406656,365539840,1085453,2200288
255.078022480011,2.0,38.6,1134478848,365736448,1216711,2201795
256.0895903110504,1.1,38.6,1134488576,366535680,1521258,2213975
257.1016228199005,1.0,38.6,1134567936,373339136,1542759,2235582
258.11317682266235,1.7,38.6,1134638080,376813056,1551824,2244215
259.12614369392395,1.4,38.6,1134658560,377439744,1593859,2264639
260.13859605789185,1.6,38.6,1134663168,377600000,1851125,2332206
261.1506145000458,1.2,38.6,1134794240,378234880,1851234,2333054
262.16180658340454,2.6,38.6,1134794240,380848128,2260240,2343148
263.175733089447,1.3,38.6,1134814720,381143040,2262698,2343690
264.18731689453125,2.0,38.6,1134814720,381143040,2372371,2370807
265.1993088722229,1.0,38.6,1134884864,381478912,2577663,2377769
266.210928440094,1.1,38.6,1134884864,381683712,2598013,2381500
267.22229766845703,0.6,38.6,1134884864,381687808,2601109,2382440
268.2337393760681,1.5,38.6,1134966272,381950464,2615565,2397003
269.24634194374084,1.0,38.6,1134966272,382257664,2616164,2397570
270.25798749923706,0.9,38.6,1134966272,382335488,2616718,2398123
271.2697973251343,0.8,38.6,1134966272,382614016,2617714,2398461
272.28177404403687,1.1,38.6,1134966272,382642688,2668952,2405594
273.2936360836029,0.9,38.6,1134968832,382930944,2693075,2499921
274.30543398857117,0.7,38.7,1134981632,384451072,2696913,2782028
275.31888008117676,1.1,38.7,1134998016,384455168,2700017,2786674
276.3313798904419,0.8,38.7,1135126528,385659392,2701358,2787321
277.35475873947144,1.5,38.7,1135179776,391438848,2704312,2788492
278.3664462566376,1.1,38.7,1135196160,391897600,2771940,2803246
279.37679982185364,0.9,38.7,1135196160,392139264,2774586,2829198
280.3889670372009,0.8,38.7,1135270400,392745472,2774726,2830551
281.4011309146881,1.2,38.7,1135274496,398283264,2774836,2830671
282.41276955604553,1.4,38.7,1135274496,398356992,2783926,2832012
283.42441630363464,1.1,38.7,1135281152,401492992,2788352,2842185
284.43557238578796,1.1,38.8,1172998656,404102144,2788708,2843457
285.44736409187317,0.8,38.8,1172998656,404106240,2795664,2845040
286.45950984954834,1.3,38.8,1173002752,404438016,2799715,2846220
287.47111773490906,1.0,38.8,1173075968,404651008,2804465,2852707
288.4827501773834,1.0,38.8,1173075968,405183488,2804968,2855251
289.4953889846802,1.0,38.8,1173121024,435936256,2805401,2856279
290.5086145401001,0.8,38.8,1235293184,435993600,2805672,2857289
291.5211281776428,0.9,38.8,1333064192,436022784,2806052,2858603
292.5331964492798,1.5,38.8,1355248640,436309504,2806269,2859403
293.5443878173828,1.9,38.9,1368569856,436891136,2818177,2871803
294.55659461021423,1.3,38.9,1368569856,437054976,2818544,2874201
295.5682592391968,0.9,38.9,1368569856,437054976,2833695,2877359
296.5803871154785,0.7,38.9,1368569856,437104128,2845256,2877414
297.60556173324585,0.9,38.8,1368569856,437112320,2846860,2882024
298.61969685554504,1.0,38.9,1368640512,437231104,2849339,2887162
299.6403350830078,0.8,38.9,1368640512,437333504,2849479,2887705
300.651061296463,1.5,38.9,1368640512,437378560,2849480,2887705
301.66224789619446,0.8,38.9,1368640512,437472768,2849589,2887924
302.67386651039124,1.3,38.7,1368713728,437878272,2849589,2887924
303.6875250339508,1.2,38.7,1368713728,438173184,2849697,2888086
304.69878578186035,1.3,38.6,1368713728,438320640,2849806,2888310
305.7109432220459,1.3,38.7,1368713728,438379008,2852978,2893390
306.7226002216339,1.4,38.7,1368713728,438546944,2873941,2913705
307.7342655658722,1.9,38.7,1368726016,438788608,2892959,2924452
308.7449655532837,1.5,38.6,1373690368,438886912,2893114,2924649
309.7566771507263,1.9,38.6,1374113792,445678080,2921203,2927937
310.76791620254517,2.0,38.6,1374190080,448340480,2921711,2929409
311.78056478500366,1.3,38.6,1374190080,448815616,2921921,2929583
312.7922315597534,2.0,38.6,1374190080,449053184,2924538,2930652
313.8043999671936,1.2,38.6,1374190080,449659392,2924677,2930825
314.81658935546875,1.1,38.6,1374232064,449708544,2950140,2932463
315.8297448158264,1.2,38.6,1374232064,450089472,2950140,2932582
316.84092712402344,1.0,38.6,1374232064,450515456,2960461,2942312
317.8525745868683,1.3,38.6,1374232064,450658816,2963064,2945993
318.8648703098297,1.1,38.6,1374232064,450826752,2994547,2954003
319.87605690956116,1.6,38.6,1374232064,451105280,2994547,2954003
320.89071893692017,0.8,38.6,1374232064,451502592,2997771,2959241
321.9023766517639,0.8,38.6,1374305792,451666432,2997826,2959307
322.91402435302734,1.2,38.6,1374305792,451744256,2997892,2960285
323.9251801967621,0.7,38.6,1374309888,451965440,2998019,2960381
324.9363396167755,1.0,38.6,1374309888,452019200,3007799,2961019
325.94796919822693,0.9,38.6,1374382080,452396032,3020735,2981648
326.95912051200867,1.2,38.6,1374382080,452432896,3020735,2981756
327.9707887172699,1.1,38.6,1374382080,452613120,3023991,2983205
328.9834804534912,1.3,38.5,1374382080,452785152,3025121,2986697
329.99865341186523,1.2,38.5,1374382080,452801536,3025206,2986751
331.0188367366791,1.1,38.5,1374382080,452801536,3025260,2986906
332.0299983024597,0.9,38.5,1374386176,452916224,3025370,2987038
333.0411546230316,1.4,38.5,1374457344,453022720,3028604,2990230
334.05281162261963,0.9,38.5,1374457344,453035008,3028766,2990550
335.06396222114563,0.8,38.5,1374457344,453071872,3028820,2991039
336.07612705230713,0.7,38.5,1374457344,453084160,3028874,2991316
337.08727526664734,1.6,38.5,1374457344,453100544,3028874,2991316
338.09844994544983,1.2,38.5,1374534656,453207040,3028959,2991316
339.1156132221222,2.7,38.5,1374534656,453526528,3033904,2999111
340.1267731189728,1.0,38.5,1374534656,453665792,3038235,3051571
341.13892817497253,0.7,38.5,1374534656,453825536,3050017,3066307
342.16061067581177,1.0,38.5,1374534656,473084928,3050247,3068406
343.1718096733093,1.0,38.5,1374534656,473211904,3054762,3072813
344.18446373939514,1.2,38.5,1374607360,473355264,3054762,3072813
345.1961371898651,1.5,38.5,1374607360,473711616,3057868,3077459
346.20835185050964,0.9,38.5,1374607360,473711616,3058007,3078002
347.2194871902466,0.9,38.5,1374607360,473854976,3058335,3078176
348.2312047481537,1.1,38.5,1374607360,473924608,3058377,3078284
349.24240350723267,1.0,38.5,1374607360,474010624,3059264,3078621
350.2545840740204,0.6,38.5,1374678016,474022912,3061765,3084019
351.2657606601715,1.2,38.5,1374682112,474031104,3061873,3084666
352.2788863182068,1.3,38.5,1374682112,474121216,3062049,3084853
353.29199838638306,1.3,38.6,1374682112,474362880,3062049,3084853
354.30329489707947,1.7,38.5,1375129600,479062016,3062378,3086176
355.31455159187317,1.0,38.5,1375129600,479209472,3062496,3086406
356.3316671848297,2.2,38.6,1375129600,479213568,3064953,3087067
357.3433074951172,3.5,38.6,1375130112,479299584,3065764,3090180
358.3550560474396,1.6,38.6,1375252992,479414272,3066420,3091138
359.36819887161255,2.5,38.6,1375252992,479733760,3066420,3091381
360.37993812561035,1.3,38.6,1375252992,483067904,3066420,3091381
361.3916163444519,0.7,38.6,1375325184,486279168,3069663,3094556
362.4027543067932,1.2,38.6,1375325184,486328320,3069718,3095111
363.4138615131378,1.4,38.6,1375325184,488486912,3069826,3095210
364.4410195350647,1.7,38.7,1377597440,491063296,3069935,3095368
365.45297050476074,1.6,38.7,1377609728,498288640,3069989,3095467
366.46664571762085,0.9,38.7,1378610688,498472960,3070313,3095949
367.4787836074829,0.9,38.7,1378610688,500594688,3073772,3099085
368.4904148578644,0.6,38.6,1378610688,503375872,3073880,3099981
369.5025658607483,1.0,38.6,1378610688,507049984,3073880,3099981
370.51373267173767,0.9,38.7,1378610688,507258880,3074020,3100101
371.52537083625793,1.1,38.7,1378610688,509556736,3074976,3101079
372.5425295829773,1.5,38.7,1378684416,512403456,3080390,3113769
373.5557050704956,2.5,38.7,1401923584,559478784,3087079,3123046
374.56709122657776,1.0,38.7,1411058688,571275264,3130920,3167870
375.57835960388184,1.5,38.7,1412115456,571389952,3140035,3177225
376.58941435813904,0.6,38.7,1412123648,575891456,3140126,3177316
377.6010675430298,1.1,38.7,1412196864,578017280,3140430,3177544
378.61169362068176,0.9,38.7,1412196864,578115584,3143590,3182320
379.625385761261,1.5,38.7,1412196864,578648064,3143644,3182478
380.63622975349426,1.4,38.7,1412196864,578963456,3143710,3183456
381.64746165275574,1.0,38.7,1412196864,579110912,3145179,3185179
382.6585941314697,1.0,38.7,1412272128,581756928,3157418,3197656
383.6692171096802,1.2,38.7,1412272128,582125568,3160578,3202475
384.68137288093567,1.4,38.7,1413143040,582543360,3160633,3202595
385.6921954154968,1.2,38.7,1413147136,582744064,3160741,3203183
386.70333671569824,1.2,38.6,1413155328,583518208,3161124,3204574
387.721045255661,1.8,38.6,1413155328,583841792,3162451,3207780
388.7336838245392,2.1,38.6,1413225472,584030208,3162505,3207780
389.7454102039337,2.9,38.7,1413225472,584353792,3163283,3207780
390.7563226222992,1.5,38.6,1413225472,584480768,3165741,3213829
391.7670695781708,2.4,38.7,1413792256,593416704,3165795,3214318
392.77889919281006,1.3,38.7,1413792256,596890112,3165935,3214438
393.79006147384644,0.8,38.7,1413792256,596947456,3166888,3215549
394.80124068260193,0.7,38.7,1413905920,599060992,3180887,3229494
395.8124771118164,0.8,38.7,1413906432,601224192,3183993,3233145
396.8241364955902,1.3,38.7,1413906432,603649024,3184168,3233266
397.8349347114563,1.2,38.7,1413906432,603726848,3184276,3233428
398.8460838794708,1.3,38.7,1413906432,605955072,3184318,3233470
399.8572599887848,1.1,38.7,1413906432,608220160,3184318,3233470
400.86842346191406,1.5,38.7,1413978112,610329600,3184318,3233470
401.87958121299744,0.6,38.7,1413978112,610333696,3186721,3233958
402.8922367095947,1.0,38.7,1413978112,612545536,3188212,3237869
403.9044134616852,1.2,38.7,1413978112,615150592,3188298,3237923
404.91560912132263,1.8,38.7,1414043648,617677824,3189088,3238403
405.926860332489,1.8,38.6,1414043648,618181632,3193418,3248755
406.94025349617004,2.5,38.6,1414362112,619336704,3195126,3251872
407.9522542953491,0.6,38.6,1414362624,619431424,3195180,3252415
408.9634289741516,1.3,38.6,1414362624,620578304,3195289,3252704
409.97457671165466,1.0,38.6,1414362624,620623360,3195343,3252704
410.985817193985,1.2,38.6,1414435840,621004288,3195344,3252862
411.99744963645935,1.0,38.6,1414435840,621311488,3195507,3253024
413.0091233253479,0.8,38.6,1414435840,621311488,3197964,3253686
414.0207898616791,0.9,38.6,1414435840,621590016,3199021,3258632
